epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.98404,0.98498,2.64911,1.31187,0.55859,0.85,0.87771,0.63475,1.65648,1.07053,1.37986,0,0,0
2,12.8124,1.03558,3.26304,1.38091,0.55588,0.85,0.88554,0.63516,1.66774,1.0681,1.38506,1.17822e-06,1.17822e-06,1.17822e-06
3,19.5128,1.3748,2.78247,1.7737,0.55098,0.85,0.84963,0.61708,1.6867,1.07736,1.39133,2.33288e-06,2.33288e-06,2.33288e-06
4,25.7026,1.49732,3.00023,2.07222,0.54808,0.85,0.85442,0.63765,1.69514,1.06983,1.39335,3.46397e-06,3.46397e-06,3.46397e-06
5,30.9139,1.48993,3.26891,1.93844,0.53904,0.85,0.8556,0.63813,1.67396,1.05096,1.36676,4.5715e-06,4.5715e-06,4.5715e-06
6,36.4136,1.17598,2.70739,1.47862,0.81693,0.646,0.85883,0.6262,1.65401,1.04505,1.3542,5.65548e-06,5.65548e-06,5.65548e-06
7,40.5723,1.1617,2.38709,1.42439,0.55724,0.85,0.87301,0.62621,1.65399,1.04904,1.35583,6.71588e-06,6.71588e-06,6.71588e-06
8,44.6121,0.97995,2.43859,1.23912,0.58021,0.86497,0.85958,0.62775,1.65637,1.06307,1.35943,7.75273e-06,7.75273e-06,7.75273e-06
9,48.7163,1.11775,3.69677,1.47575,0.77972,0.65,0.89436,0.62928,1.63641,1.03984,1.3438,8.76602e-06,8.76602e-06,8.76602e-06
10,52.8174,1.00059,2.41509,1.24273,0.77023,0.65,0.89449,0.63083,1.63827,1.05007,1.3434,9.75574e-06,9.75574e-06,9.75574e-06
11,56.9101,1.13098,2.82005,1.39544,0.65713,0.77826,0.90973,0.63379,1.63798,1.05264,1.34062,1.07219e-05,1.07219e-05,1.07219e-05
12,61.0195,0.89138,2.15066,1.28123,0.65814,0.77968,0.90947,0.64475,1.63983,1.07562,1.34134,1.16645e-05,1.16645e-05,1.16645e-05
13,65.1763,0.91081,1.89745,1.43283,0.65704,0.77756,0.91168,0.64752,1.62206,1.08084,1.32985,1.25835e-05,1.25835e-05,1.25835e-05
14,69.3076,0.99098,2.2229,1.38553,0.70586,0.74624,0.9127,0.65256,1.61047,1.08299,1.32717,1.3479e-05,1.3479e-05,1.3479e-05
15,73.4759,1.02547,1.85874,1.39527,0.70696,0.74821,0.91272,0.64866,1.61254,1.09242,1.32925,1.43509e-05,1.43509e-05,1.43509e-05
16,77.516,1.04592,2.22526,1.56099,0.8111,0.65,0.9128,0.6314,1.62115,1.10414,1.33203,1.51993e-05,1.51993e-05,1.51993e-05
17,81.6715,0.93413,2.22433,1.35036,0.82587,0.65,0.91267,0.63313,1.63268,1.10546,1.33605,1.60241e-05,1.60241e-05,1.60241e-05
18,86.271,1.14692,2.48835,1.46643,0.82587,0.65,0.91267,0.63313,1.63268,1.10546,1.33605,1.68253e-05,1.68253e-05,1.68253e-05
19,90.4017,1.05664,1.51711,1.27416,0.81471,0.65,0.91247,0.62528,1.63152,1.1361,1.33733,1.7603e-05,1.7603e-05,1.7603e-05
20,94.4102,1.00563,1.50689,1.28578,0.81471,0.65,0.91247,0.62528,1.63152,1.1361,1.33733,1.83571e-05,1.83571e-05,1.83571e-05
21,98.5154,1.1644,3.17841,1.50595,0.82452,0.65,0.91063,0.62688,1.64825,1.15321,1.34504,1.90876e-05,1.90876e-05,1.90876e-05
22,102.614,0.97641,1.76977,1.4965,0.82452,0.65,0.91063,0.62688,1.64825,1.15321,1.34504,1.97946e-05,1.97946e-05,1.97946e-05
23,107.075,1.04289,2.01645,1.30462,0.82465,0.65,0.85492,0.6123,1.66735,1.20241,1.36237,2.0478e-05,2.0478e-05,2.0478e-05
24,111.116,1.05617,1.65118,1.38182,0.82465,0.65,0.85492,0.6123,1.66735,1.20241,1.36237,2.11379e-05,2.11379e-05,2.11379e-05
25,115.276,0.88543,1.98365,1.25174,0.82852,0.65,0.85537,0.59995,1.69264,1.23802,1.37969,2.17741e-05,2.17741e-05,2.17741e-05
26,119.407,0.95882,1.61159,1.39607,0.82852,0.65,0.85537,0.59995,1.69264,1.23802,1.37969,2.23869e-05,2.23869e-05,2.23869e-05
27,123.576,0.89552,1.53945,1.24212,0.82754,0.65,0.8551,0.59981,1.6819,1.25601,1.3771,2.2976e-05,2.2976e-05,2.2976e-05
28,127.673,0.86472,1.5087,1.22765,0.82754,0.65,0.8551,0.59981,1.6819,1.25601,1.3771,2.35417e-05,2.35417e-05,2.35417e-05
29,132.035,1.21879,1.76291,1.42431,0.80019,0.65,0.85212,0.59896,1.66778,1.29055,1.37586,2.40837e-05,2.40837e-05,2.40837e-05
30,136.605,0.78549,1.37446,1.1401,0.80019,0.65,0.85212,0.59896,1.66778,1.29055,1.37586,2.46022e-05,2.46022e-05,2.46022e-05
31,140.777,0.86245,1.4464,1.26505,0.79188,0.65,0.77443,0.5251,1.66702,1.33513,1.3752,2.50971e-05,2.50971e-05,2.50971e-05
32,144.867,0.98154,1.36418,1.26895,0.79188,0.65,0.77443,0.5251,1.66702,1.33513,1.3752,2.55685e-05,2.55685e-05,2.55685e-05
